Name: CCTV-2, URL: http://110.53.218.182:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 3066 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://120.238.84.45:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 272 ms, Speed: 0.18 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://120.196.235.42:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 265 ms, Speed: 0.03 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://120.198.95.220:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1$订阅源, IPv_Type: ipv4, Date: None, Delay: 530 ms, Speed: 0.10 M/s, Resolution: 720x576
Name: CCTV-2, URL: http://111.4.82.49:8008/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 209 ms, Speed: 0.02 M/s, Resolution: 720x576
Name: CCTV-2, URL: http://120.233.73.4:19901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 261 ms, Speed: 0.11 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://61.162.52.6:8088/newlive/live/hls/2/live.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: 535 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://175.0.75.129:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 259 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-2, URL: http://101.21.119.198:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 249 ms, Speed: 0.01 M/s, Resolution: 1920x1080
Name: CCTV-2, URL: http://183.234.143.5:9902/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, IPv_Type: ipv4, Date: None, Delay: 524 ms, Speed: 0.02 M/s, Resolution: None
